
,Ticket Office Operating Hours,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MRT Stations,,,,,,,,,,
,,Mon,,Tue-Fri,,Sat,,Sun,,PH,
,EW2 Tampines,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,EW5 Bedok,"1200 - 1545
1645 - 2000",,"1200 - 1545
1645 - 2000",,"1200 - 1545
1645 - 2000",,"1200 - 1545
1645 - 2000",,"1200 - 1545
1645 - 2000",
,EW7 Eunos,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,CLOSED,,CLOSED,
,EW9 Aljunied,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,CLOSED,
,EW11 Lavender,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,CLOSED,
,EW12 Bugis,1000 - 2100,,1000 - 2100,,1000 - 2100,,1000 - 2100,,1000 - 2100,
,EW13/NS25 City Hall,0900 - 2100,,0900 - 2100,,0900 - 2100,,0900 - 2100,,0900 - 2100,
,EW14/NS26 Raffles Place,0800 - 2100,,0800 - 2100,,0800 - 1700,,CLOSED,,CLOSED,
,EW17 Tiong Bahru,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,CLOSED,
,EW23 Clementi,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,EW24/NS1 Jurong East,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",
,EW26 Lakeside,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",
,CG2 Changi Airport,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,NS2 Bukit Batok,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",
,NS5 Yew Tee,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1800",,CLOSED,,CLOSED,
,NS9 Woodlands,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,NS11 Sembawang,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1800",,CLOSED,,CLOSED,
,NS13 Yishun,0800 - 2200,,0800 - 2200,,0800 - 2200,,0800 - 2200,,0800 - 2200,
,NS16 Ang Mo Kio,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,NS17 Bishan,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,CLOSED,
,NS19 Toa Payoh,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",
,NS20 Novena,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1800",,CLOSED,,CLOSED,
,NS22 Orchard,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,NE4 Chinatown,"0800 - 1230
1300 - 1600
1700 - 2100",,"0800 - 1230
1300 - 1600
1700 - 2100",,"0800 - 1230
1300 - 1600
1700 - 2100",,"0800 - 1230
1300 - 1600
1700 - 2100",,"0800 - 1230
1300 - 1600
1700 - 2100",
,NE8 Farrer Park,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",
,NE14 Hougang,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1930",
,NE16 Sengkang,1000 - 2100,,1000 - 2100,,1000 - 2100,,1000 - 2100,,1000 - 2100,
,CC13 Serangoon,CLOSED,,"1200 - 1545
1645 - 1930",,"1200 - 1545
1645 - 1800",,"1200 - 1545
1645 - 1930",,CLOSED,
,CC29 HarbourFront,"0800 - 1600
1700 - 2100",,"0800 - 1600
1700 - 2100",,"0800 - 1600
1700 - 2100",,"0800 - 1600
1700 - 2100",,"0800 - 1600
1700 - 2100",
,CE1 Bayfront,CLOSED,,CLOSED,,"1200 - 1545
1645 - 2000",,"1200 - 1545
1645 - 2000",,"1200 - 1545
1645 - 2000",
,,,,,,,,,,,TLSO
,,,,,,,,,,,
,Bus Interchanges,,,,,,,,,,
,,Mon,,Tue-Fri,,Sat,,Sun,,PH,
,Bedok Int,1000 - 2000,,1000 - 2000,,1000 - 1700,,CLOSED,,CLOSED,
,Boon Lay Int,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,,0800 - 2100,
,Bukit Merah Int*,1200 - 1930,,1200 - 1930,,1200 - 1930,,1200 - 1930,,1200 - 1930,
,Toa Payoh Int,1000 - 2000,,1000 - 2000,,1000 - 1700,,CLOSED,,CLOSED,
,,,,,,,,,,,TLSO
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Ticketing Service Centre (TSC)/
Concession Card Replacement Office (CCRO)
Operating Hours",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MRT Stations,,,,,,,,,,
,,Mon,,Tue-Fri,,Sat,,Sun,,PH,
,EW21 Buona Vista,1000 - 1800,,,,,,,,CLOSED,
,NS10 Admiralty,1000 - 1800,,,,,,,,CLOSED,
,NS23 Somerset,1000 - 1800,,,,,,,,CLOSED,
,DT1 Bukit Panjang,1000 - 1800,,,,,,,,CLOSED,
,TE18 Maxwell,1000 - 1800,,,,,,,,CLOSED,
,TE26 Marine Parade,1000 - 1800,,,,,,,,CLOSED,
,,,,,,,,,,,
,Bus Interchanges,,,,,,,,,,
,,Mon,,Tue-Fri,,Sat,,Sun,,PH,
,Ang Mo Kio Int,1000 - 1800,,,,,,,,CLOSED,
,Choa Chu Kang Int,1000 - 1800,,,,,,,,CLOSED,
,Hougang Central Int,1000 - 1800,,,,,,,,CLOSED,
,Jurong East Interim Int,1000 - 1800,,,,,,,,CLOSED,
,Tampines Int,1000 - 1800,,,,,,,,CLOSED,
,,,,,,,,,,,CCRO
,,,,,,,,,,,
,,,,,,,,,,,
,SimplyGo Kiosk Locations,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Bus Interchanges,,,,,,,,,,
,Ang Mo Kio Int,,,,,,,,,,
,Bedok Int,,,,,,,,,,
,Boon Lay Int,,,,,,,,,,
,Bukit Panjang ITH,,,,,,,,,,
,Choa Chu Kang Int,,,,,,,,,,
,Hougang Central Int,,,,,,,,,,
,Pasir Ris Int,,,,,,,,,,
,Tampines Int,,,,,,,,,,
,Woodlands ITH,,,,,,,,,,
,Yio Chu Kang Int,,,,,,,,,,
,Yishun ITH,,,,,,,,,,
,,,,,,,,,,,
,MRT Stations,,,,,,,,,,
,EW21 Buona Vista,,,,,,,,,,
,TE18 Maxwell,,,,,,,,,,
,TE26 Marine Parade,,,,,,,,,,
,,,,,,,,,,,
,© 2022-2024 Tan Wei Liang Nathanael (Your Future SMRT CEO). All Rights Reserved.,,,,,,,,,,
,"Whilst every effort is made into ensuring that the information is up-to-date and accurate, corrections are welcome",,,,,,,,,,
,should any be found,,,,,,,,,,
,linktr.ee/sg5573t,,,,,,,,,,
