First and Last Train Information,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Updated as at 17 September 2024 - Condensed PRINT Version for CSER (Draft)
DO NOT USE LAST TRAIN INFO DURING EXTENDED LAST TRAIN OPS!",,,,,,,,,,
,,,,,,,,,,,
,TEST version - both LTA and SMRT timings provided,,,,,,,,,,
,,,,,,,,,,,
Towards ❶ EW1 Pasir Ris,,,,,,,,,,,
,,First Train,,,,,Last Train,,,,
,,Mon - Sat,,,Sun / PH,,Daily,,,,
,EW2 Tampines,5:21,,,5:47,,0:37,,,,
,EW3 Simei,5:19,,,5:45,,0:34,,,,
,EW4 Tanah Merah,5:16,,,5:42,,"00:31 (LTA)
00:33 (SMRT)",,,,
,EW5 Bedok,"06:18 (LTA)
06:19 (SMRT)",,,"06:46 (LTA)
06:47 (SMRT)",,"00:29 (LTA)
00:30 (SMRT)",,,,
,EW6 Kembangan,"06:15 (LTA)
06:16 (SMRT)",,,"06:43 (LTA)
06:44 (SMRT)",,"00:26 (LTA)
00:27 (SMRT)",,,,
,EW7 Eunos,"06:13 (LTA)
06:14 (SMRT)",,,"06:42 (LTA)
06:43 (SMRT)",,"00:24 (LTA)
00:25 (SMRT)",,,,
,EW8 Paya Lebar,"06:11 (LTA)
06:12 (SMRT)",,,6:39,,0:22,,,,
,EW9 Aljunied,"06:09 (LTA)
06:10 (SMRT)",,,"06:37 (LTA)
06:38 (SMRT)",,0:20,,,,
,EW10 Kallang,6:07,,,6:35,,"00:17 (SMRT)
00:18 (LTA)",,,,
,EW11 Lavender,6:05,,,6:33,,"00:15 (SMRT)
00:16 (LTA)",,,,
,EW12 Bugis,6:03,,,6:31,,"00:13 (SMRT)
00:14 (LTA)",,,,
,EW13 City Hall,6:01,,,6:29,,"00:10 (SMRT)
00:11 (LTA)",,,,
,EW14 Raffles Place,5:59,,,6:27,,"00:08 (SMRT)
00:09 (LTA)",,,,
,EW15 Tanjong Pagar,5:56,,,6:24,,"00:05 (SMRT)
00:06 (LTA)",,,,
,EW16 Outram Park,5:54,,,6:22,,"00:03 (SMRT)
00:04 (LTA)",,,,
,EW17 Tiong Bahru,"05:51 (LTA)
05:52 (SMRT)",,,"06:19 (LTA)
06:20 (SMRT)",,"00:00 (SMRT)
00:01 (LTA)",,,,
,EW18 Redhill,5:49,,,6:17,,"23:58 (SMRT)
23:59 (LTA)",,,,
,EW19 Queenstown,"05:46 (LTA)
05:47 (SMRT)",,,"06:14 (LTA)
06:15 (SMRT)",,23:57,,,,
,EW20 Commonwealth,5:45,,,6:13,,"23:53 (SMRT)
23:55 (LTA)",,,,
,EW21 Buona Vista,5:43,,,6:11,,"23:51 (SMRT)
23:53 (LTA)",,,,
,EW22 Dover,5:40,,,6:08,,"23:49 (SMRT)
23:51 (LTA)",,,,
,EW23 Clementi,5:38,,,6:06,,"23:46 (SMRT)
23:49 (LTA)",,,,
,EW24 Jurong East,"05:42 (SMRT)
05:43 (LTA)",,,"06:12 (SMRT)
06:13 (LTA)",,"23:42 (SMRT)
23:45 (LTA)",,,,
,EW25 Chinese Garden,"05:39 (SMRT)
05:40 (LTA)",,,"06:09 (SMRT)
06:10 (LTA)",,"23:39 (SMRT)
23:42 (LTA)",,,,
,EW26 Lakeside,"05:37 (SMRT)
05:38 (LTA)",,,"06:07 (SMRT)
06:08 (LTA)",,"23:37 (SMRT)
23:40 (LTA)",,,,
,EW27 Boon Lay,"05:34 (SMRT)
05:36 (LTA)",,,"06:04 (SMRT)
06:06 (LTA)",,"23:34 (SMRT)
23:38 (LTA)",,,,
,EW28 Pioneer,5:34,,,6:04,,23:34,,,,
,EW29 Joo Koon,"05:29 (SMRT)
05:31 (LTA)",,,"05:59 (SMRT)
06:01 (LTA)",,"23:29 (SMRT)
23:32 (LTA)",,,,
,EW30 Gul Circle,5:26,,,5:56,,"23:26 (SMRT)
23:27 (LTA)",,,,
,EW31 Tuas Crescent,5:23,,,5:53,,"23:23 (SMRT)
23:24 (LTA)",,,,
,EW32 Tuas West Road,5:21,,,5:51,,23:22,,,,
